TABELA DE JOGOS;;;;;;;
DATA;HORÁRIO;MODALIDADE;LOCAL;JOGOS ;CONFRONTOS;;
sábado, 19 de setembro de 2026;09:00;ABERTURA COM GINCANAS;GINÁSIO;PROVA;TODAS AS EQUIPE;;
;10:30;FUTEBOL SOCIETY FEMININO;CAMPO DE SOCIETY;JOGO 01;AMARELO;X;VERDE
;11:30;FUTEBOL SOCIETY FEMININO;CAMPO DE SOCIETY;JOGO 02;VERMELHO;X;AZUL
;13:00;HANDEBOL FEMININO;GINÁSIO;JOGO 01;VERMELHO;X;VERDE
;13:00;VÔLEI DE AREIA FEMININO (QUARTETO);QUADRA DE AREIA;JOGO 01;VERDE;X;AMARELO
;13:30;CICLISMO (Montain bike);CIRCUITO DE TRILHA DO NÚCLEO;PROVA;TODAS AS EQUIPE;;
;14:00;HANDEBOL FEMININO;GINÁSIO;JOGO 02;AZUL;X;AMARELO
;14:00;VÔLEI DE AREIA FEMININO (QUARTETO);QUADRA DE AREIA;JOGO 02;AZUL;X;VERMELHO
;15:00;HANDEBOL MASCULINO;GINÁSIO;JOGO 01;AMARELO;X;AZUL
;15:00;VÔLEI DE AREIA FEMININO (QUARTETO);QUADRA DE AREIA;3º LUGAR;;;
;16:00;FUTEBOL MASCULINO CAMPO ACIMA 40 ANOS;CAMPO DE FUTEBOL / PISTA DE ATLETISMO;JOGO 01;AZUL;X;AMARELO
;16:00;HANDEBOL MASCULINO;GINÁSIO;JOGO 02;VERMELHO;X;VERDE
;16:00;PETECA FEMININO;QUADRA DE PETECA;JOGO 01;VERDE;X;AMARELO
;16:00;VÔLEI DE AREIA FEMININO (QUARTETO);QUADRA DE AREIA;FINAL;;;
;16:30;ATLETISMO 100 m RASOS FEMININO;CAMPO DE FUTEBOL / PISTA DE ATLETISMO;PROVA;TODAS AS EQUIPE;;
;16:30;ATLETISMO 100 m RASOS MASCULINO;CAMPO DE FUTEBOL / PISTA DE ATLETISMO;PROVA;TODAS AS EQUIPE;;
